RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023
395010,468,"Quincy, IL",msa,IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,35,37,38,35,39,34,35,36,38,37,36,33,32,32,35,32,30,36,32,37,38,34
395062,469,"Sandusky, OH",msa,OH,43,38,31,34,37,37,32,35,34,36,34,35,34,33,36,32,37,36,36,35,33,30,33,34,38,34,35,40,41,36,36,40,37,39,42,43,45,35,40,35,39,41,38,37,41,36,36,36,40,36,36,34,31,38,35,36,37,34,33,35,34,39,32,29,34,35,34,31
394593,470,"Findlay, OH",msa,OH,33,27,33,32,33,36,31,32,35,37,28,30,33,32,30,36,29,35,32,33,35,32,32,32,37,29,35,37,35,31,35,36,37,35,35,37,35,33,33,35,34,37,37,35,36,35,34,33,35,33,30,35,31,34,34,32,31,31,31,30,30,31,31,32,28,31,34,30
394614,471,"Frankfort, KY",msa,KY,39,30,37,34,37,39,43,38,38,37,37,36,35,35,38,36,37,36,36,37,38,38,39,38,40,33,36,39,38,42,44,42,43,46,40,44,40,40,41,40,41,42,35,37,40,39,37,39,41,34,36,37,34,36,35,31,34,37,32,35,31,30,36,33,34,33,34,30
394516,472,"Danville, IL",msa,IL,,,,,,,,,,,,,,,,,,,,,,,,,34,34,31,35,29,35,34,31,34,30,26,25,32,30,37,45,38,42,43,41,46,38,41,43,42,35,39,39,40,39,38,39,37,33,37,32,38,36,36,38,40,36,36,34
395106,475,"Somerset, PA",msa,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,43,48,43,45,38,48,46,39,41,44,43,43,45,39,42,46,39,34,49,42,40,35,41,44,39,37,37,37,40,37,38,42,36,39,36,40,37,36
753893,477,"Jefferson, GA",msa,GA,39,31,31,29,31,38,27,29,33,29,31,32,33,30,28,32,31,32,33,30,33,35,29,32,32,27,30,31,31,29,34,32,32,35,30,34,36,33,30,32,31,30,30,29,29,31,31,28,30,29,27,30,25,28,28,28,25,28,25,28,30,29,27,29,28,28,28,24
394736,478,"Kapaa, HI",msa,HI,57,50,54,55,51,51,55,50,56,44,51,50,46,45,47,50,56,53,53,60,58,56,50,52,51,52,54,59,66,50,49,51,55,51,55,51,53,51,49,59,53,54,51,60,51,51,45,56,59,50,42,45,44,52,44,36,47,48,37,44,49,43,39,45,44,42,35,45
394955,479,"Palatka, FL",msa,FL,,24,19,18,33,30,22,30,29,31,31,19,27,23,24,30,25,36,39,38,36,34,33,33,38,35,26,37,35,38,47,45,40,42,40,41,40,38,38,30,42,42,42,39,43,34,40,45,35,42,36,41,37,37,37,37,34,31,28,30,25,24,22,28,29,26,26,21
395088,482,"Shawnee, OK",msa,OK,,,,,,,,,,,,,,33,31,37,34,36,34,36,39,39,40,36,39,36,32,36,38,40,37,40,41,42,44,48,46,40,39,36,42,42,45,41,40,43,39,43,41,39,39,35,37,37,32,37,33,35,32,35,34,30,35,31,35,35,37,34
